2 player game with a ball that you have to hit with lines (paddles)?,Pong
What company developed Space Invaders?,Taito
Space themed multidirectional shooter arcade game?,Asteroids
"This text based game has many obstacles, including the mysterious Grue, which can eat you",Zork
"Pioneers in wagons cross the great plains, and can die from dysentery?",The Oregon Trail
"The predecessor to Galaga, created by Bandai Namco Entertainment",Galaxian
What video game character is a baby monkey?,Donkey Kong Jr.
Foul mouthed furballl that jumped up and down on cubes?,Q-Bert
"Which game had you jump through traffic, across a river, and onto a lilypad?",Frogger
Eat a lot of dots and avoid the ghosts?,Pacman
"One of the first games to allow you to save on the NES, main character was named Link?",The Legend of Zelda
What game was so bad that the company drove truckloads of it to the dump?,E.T. The Extra-Terrestrial
Who is the fastest video game character from the early 1990s?,Sonic
Game from Soviet Russia that had you systematically line up block patterns?,Tetris
"One of the first first-person 3D shooters, shooting nazis?",Wolfenstein 3D
This point and click game is set in the Land of the Dead?,Grim Fandango
"In this game, the main character says, ""I'm Here To Kick Ass And Chew Bubblegum"", and I'm all out of Bubble\gum",Duke Nuke'em 3D
"In this game, you have to hide in the shadows and shoot different types of arrows to solve puzzles",Thief: The Dark Project
Create and control virtual people in this game,The Sims
Explore ancient ruins with this sidearm carrying lady,Tomb Raider
Which game had a bonus level featuring cows?,Diablo II
Arguably one of the greatest first person shooters ever released for a game console was this game by Bungie Studios,Halo
"What was the name of the virtual pandemic that struck the ""World of Warcraft"" in 2005?",Corrupted Blood
Going to Venice and stabbing people.,Assassin's Creed 2
,
,
Who is the leader of the evil faction of A.I.?,Miss DOS
Who did Clicky go on a date with?,Amy
Where is Pokey from?,Gamma Epsilon Coagy
What supply is the LO8BC constantly running out of?,Chunky 8-Bit Salsa
Who is the leader of the LO8BC?,Victoria
Which character is a hardware expert and Mad Scientist?,Eagull
"Which C64 device smokes meat, and was featured on Hackaday?",The Smokerdore 64
What software makes use of the 8 channel relay board connected to the C64 user port?,Relay Tracker
What computers were used in CityXen Christmas Special 2019?,"C64, C128, and Amiga 500"
What is the character that is always after Billy & TIm?,Scratches Poker
What file did Billy try to download from a BBS?,Headbusters
What is the name of Clicky's 2nd level retronic energy?,SID Sonic
"In Domo Arigato, what Kaiju character did the LO8BC have to fight?",Kaiju PC Junior
"Who played the role of The Butler in ""Murder, She Processed""?",F1D0
What is the name of the magazine that Billy &Tim were typing a program from?,Xecute!
What was the name of Clicky's therapist?,Eliza
What is the name of Amy's 2nd level retronic energy?,Amazing Amy
Which DOS Clone tried to examine Amy's fat agnus?,Ursula
Which character carries a media staff and oil lamp?,Helmet Guy
Which character from the future tells the story of CityXen?,Scampy
What is Trish's favorite Soap Opera?,As The Disk Turns
,
,
,
,
,
,
What major law was violated in the movie Smokey and the Bandit?,Smuggling Coors beer east of the Mississippi. (smuggling beer)
"In Halloween, what is Michael Myers' middle name?",Michael Audrey Myers
What charactor did Harrison Ford play in Star Wars?,Hans Solo
"In Blazing Saddles, what is the last name of everybody in the town of Rock Ridge?",Johnson
What was the name of the monster that attacked Luke in the trash compactor in Star Wars?,A dianoga.
"In Grease, what does Vi say that Frenchie's hair looks like?",An easter egg.
"Maverick said, ""Sorry, Goose, but it's time to buzz the tower"", in which film?",Top Gun
"What film franchise is the quote, ""I have a bad feeling about this"", from?",Star Wars
Which movie secured the Oscar for Best Original Score in 1983?,E.T. The Extra-Terrestrial
"In which 1984 film did a young Arnold Schwarzenegger say the line, ""I'll be back""?",The Terminator
Who directed 'The Shining'?,Stanley Kubrick
"Who portrayed the character of Mick Dundee in the movie, 'Crocodile Dundee'?",Paul Hogan
"What's the first rule of Fight Club in, erm, 'Fight Club'?",You do not talk about Fight Club
To what does Forrest Gump compare life?,To a box of chocolates
Two friends get away from their husbands to go on a road trip and soon end up on the run.,Thelma and Louise
"With an Hi-8 video with black-and-white 16 mm film, some college students enter the world of voodoo and witchcraft.",The Blair Witch Project
Who plays the President in Mars Attacks?,Jack Nicholson
"In a world of 1s and 0s…. are you a zero, or The One?",The Matrix
In what year was the first Shrek movie released?,2001
Which 2000's movie was the one to bring Brad Pitt and Angelina Jolie together?,Mr. and Mrs. Smith.
Who played the iconic Captain Jack Sparrow in the Pirates of the Caribbean film series?,Johnny Depp
Which 2008 comedy was based on two middle-aged 'losers' becoming a blended family when their parents married?,Step Brothers
"Which American survival drama starred a stranded Tom Hanks and his football, Wilson?",Cast Away
"Which movie sees George Clooney, John Turturro, and Tim Blake play three escaped convict brothers?","O Brother, Where Art Thou?"
,
,
,
,
,
,
,
Who wrote and produced the 1971 hit 'Man in Black'?,Johnny Cash.
"Where can you check in anytime you like, but you can never leave?",Hotel California
Which song is real life? Or is it just fantasy?,Bohemian Rhapsody
"Which global star released the 1973 double-album, Goodbye Yellow Brick Road?",Elton John
"This band released the Immigrant Song, and has the lyric ""We come from the land of the ice and snow""?",Led Zeppelin
"Which artist, who is known as one of the greatest funk musicians in history, is also referred to as The Godfather of Soul?",James Brown.
Who wants to dance with somebody who loves her?,Whitney Houston
Which Norwegian group sang “Take On Me” in 1984?,A-ha.
"In 1982/83, who told us they were “gonna party like it’s nineteen ninety-nine”?",Prince.
Belinda Carlisle was the lead singer of which 1980s girl band before achieving solo success?,The Go-Go’s.
Who’s breakthrough hit was the 1983 single “Girls Just Want to Have Fun”?,Cyndi Lauper.
"“The Power of Love”, a song which gave Huey Lewis and the News their first U.S. Billboard Hot 100 number one single, was the theme song to which 1985 movie?",Back to the Future.
Who is too sexy for their shirt?,Right said fred
"Aqua had a best-selling song in 1997, what was it called?",Barbie Girl
What was the name of the Coolio hit from soundtrack to the film ‘Dangerous Minds’?,Gangsta’s Paradise
Natalie Imbruglia sang the hit of summer 98 with which single?,Torn
‘Losing My Religion’ was a huge hit for which band?,R.E.M.
What was the name of the debut single from Britney Spears?,Baby One More Time
"A sample of one of my songs was used on Eminem's song ""Stan"". Which singer am I?",Dido
What group sang the song 'Californication'?,RHCP
Who sang the song 'Toxic'?,Britney Spears
Green Day want to be woken when what ends?,September
What group sang the song 'Don't Cha'?,Pussycat Dolls
Whose milkshake brings all the boys to the yard?,Kelis
,
,
,
,
"Belittled by some as the ""Trash 80,"" this home computer was sold through Radio Shack in the late 1970s.",Tandy TRS 80
"According to the American Computer Museum and the Computer History Museum, this was the world's first personal computer.",Kenbak-1
Which recording media that you could fix with a pencil saw widespread usage in the 1970s,Cassette Tape
